"INF_Cl_mg_per_l","INF_COD_mg_O2_per_l","INF_Nkj_mg_N_per_l","INF_PO4o_mg_P_per_l","INF_SO4_µg_per_l","INF_TSS_mg_per_l","Glycerol_kg","Return_sludge_m3_per_h","Inf_Flow_m3_per_h","Capacity_blowers_%","DW_AT_g_per_l","SVI_10","T_avg_C","rarity"
8310,1400,31,2.2,92000,174,1237.54269857143,26.7149404761905,73.4531547619048,53.4219642857143,5.04690476190476,88.3503401360544,23.7996441397297,2.06039625790643
2295,2935,188,0.55,55000,107.5,1289.09057785714,24.4392261904762,73.4506547619048,53.7592857142858,4.35660714285714,179.921151763791,20.5719868436124,2.06061711099506
11545,1920,33.5,1.165,160500,543,2069.09623774725,30.095,93.0789880952381,51.6620833333333,4.46934523809524,295.882173635935,16.5966788471189,2.06058421830849
12150,1860,50,1.55,112500,95.5,768.829587662338,25.8044642857143,84.5583928571429,52.0789880952381,4.93708333333334,164.388948189998,17.4922513804904,2.06014500349505
14000,2310,58.5,1.85,145000,127.5,1265.21426590909,-0.06,200.209999999999,92.4699999999997,4.08000000000001,107.467258132657,17.0123462101585,2.06102619963946
12800,1940,40,2.5,82000,62,1372.8447,22.8604761904762,80.7902976190476,57.8751190476191,4.52982142857143,46.4601301315141,16.5324410398265,2.06140458461111
10205,2105,16.3,1.95,4165000,133.5,1755.90470571429,45.584371257485,134.002874251497,85.4462874251495,6.08844311377245,79.1643289531965,20.523403423459,2.0613817201941
17800,2040,39.5,1.6,130500,63,2535.61101428571,22.0656547619048,72.1061309523809,72.8890476190476,5.70065476190476,140.779220779221,22.2413750254108,2.05978607999784
20100,1455,31,2.2,184500,38.5,1450.27600714286,18.2941666666667,64.7184523809523,66.6705952380952,5.17958333333333,166.276250117714,25.9313316132784,2.06032360961068
14900,1540,12,2.4,98000,97,2147.26275,20.739880952381,69.9546428571428,45.6842857142857,5.22392857142857,78.7931034482759,24.1832995396961,2.05491411430852
8240,2080,14,1.5,174000,98,1801.74574285714,31.5102976190476,65.0128571428571,52.9986309523809,4.28392857142857,61.0663420101648,27.6035731074212,2.05898866781706
17650,1220,21.5,1.5,185000,169,1420.95297857143,33.9827976190476,78.8494642857143,51.3125595238095,4.01553571428571,47.0769230769231,25.8019954574871,2.06012097607462
11100,2420,19,1.7,81000,69,2812.14822857143,21.8866071428572,68.2826785714285,55.2814285714286,4.66255952380953,60.4990418476789,24.3296991035369,2.06135993084233
1995,2030,38,0.12,104500,92,1628.66417142857,18.78375,50.7392261904761,55.20125,4.6717857142857,44.7648102729756,20.0946667301903,2.06132906011284
8080,1230,45,0.4,106000,58,731.52765,29.6655357142857,90.1282142857143,52.09,3.88047619047619,19.5923261390887,21.857767885259,2.0600357113046
10600,1270,36,1.8,186000,64,1340.35013571429,32.8985714285714,92.5697023809524,54.0932738095238,4.09684523809524,22.7739063104917,17.7278110212242,2.06074820679155
14100,2150,19.5,1.385,89500,87,1740.62012142857,27.6486309523809,78.4228571428571,66.3172023809523,5.26071428571428,18.1993790962401,18.6758092975004,2.05948965097925
9739.418,1229,22.05,1.263,875255,148.076923,1480.02782142857,27.9966666666666,88.897619047619,56.6374404761905,5.70785714285715,45.6577266922095,14.3926254151161,2.06099509112945
8470.631,2100,66.165,1.665,111676,82.051282,2026.89372857143,26.3809523809524,92.2952976190475,70.692857142857,4.44357142857143,26.1904761904762,15.3140795351609,2.05638971702489
11822.025,1440,14.535,1.29,11733852,262.573964,2049.94465714286,43.0034523809523,107.258392857143,80.3787499999998,5.07946428571429,27.5862068965517,17.5736855013841,2.06039075850076
12134.98,1968,57.935,2.146,118566,61.7486338,919.40085,27.2501190476191,82.8004761904762,65.3030357142858,4.14970238095238,29.7960882230545,17.3381486600919,2.05739510913856
987.431,1917,51.9,1.325,334221,117.908787,1665.00302142857,27.1135119047619,82.1963690476191,66.5098809523809,6.1079761904762,133.007942988642,22.0613751818313,2.06114793658669
1282.9,1851,98.07,0.792,137077,55.9471365,1366.60069285714,25.5308928571429,69.7383333333333,56.5044642857143,5.18916666666667,202.334630350195,18.3636321285579,2.06056134761502
1864.577,2568,59.25,0.681,0,522.580645,1599.98136428571,21.7114880952381,77.6018452380953,78.5451785714286,5.71386904761905,150.234741784038,25.7605388713968,2.060555453107
18000,1200,15,1.8,78000,72,2192.15349285714,26.9271428571429,81.1527976190476,68.8258928571429,5.02797619047619,75.8893280632411,24.1832995396961,2.06136689528092
20000,1600,17,2.4,75000,275,1532.26525714286,32.1219642857143,72.3027976190476,51.5373214285714,4.12511904761905,73.0827761790395,27.6035731074212,2.05628674215008
19000,1800,7.2,3.2,780000,167,2097.68937142857,29.2099404761905,70.6798214285714,52.6248809523809,4.83190476190476,42.5167336010709,25.8019954574871,2.06063461633378
2700,1600,27,1.2,1e+05,103,1921.27542857143,33.2620833333333,83.059880952381,55.6259523809524,4.30660714285714,42.2802197802198,24.3296991035369,2.06132127369122
9200,2100,20,1.7,1.3e+07,247,1573.74017142857,35.8514285714286,77.9599404761905,66.4408928571429,5.41880952380952,57.7311208735429,20.0946667301903,2.06141502582678
21000,1300,28,2.6,82000,181,1554.33605714286,37.6615476190476,66.9763095238095,58.6082738095238,5.41392857142857,62.0665712842956,20.5719868436124,2.06020362180743
22000,3500,18,3.9,50000,87,2886.06423214286,55.6835714285714,74.2485119047619,67.0772023809524,4.90988095238095,60.6710044853963,18.6758092975004,2.06098381128208
22000,1850,32,2.6,92000,225,1416.639,40.778869047619,69.5577976190476,48.8027976190476,4.77779761904762,27.8571428571429,15.3140795351609,2.05856664355307
